OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
112,POLCZ FERTILITY CENTER,,BOYNTON BEACH,FLORIDA,"Tibor E. Polcz, MD",7,*,6,0,* / 7,* / *,* / 6,,* / 7,* / *,* / 6,,7,*,6,0,* / 7,* / *,* / 6,,* / 7,* / *,* / 6,,9,*,7,0,* / 9,* / *,* / 7,,* / 9,* / *,* / 7,,1.8,1.0,3.0,,* / *,,* / 6,,* / *,,* / 6,,* / *,,* / 6,,1.3,,1.0,,1.2,,1.2,,*,0,*,0,0 / *,,0 / *,,0 / *,,0 / *,,6,*,*,*,15,* / 5,0 / *,* / *,0 / *,* / 11,0 / 5,0 / *,0 / *,0 / *,0 / 13,0 / 6,0 / *,0 / *,0 / *,0 / 15,0 / 5,0 / *,0 / *,0 / *,0 / 13,* / 5,0 / *,* / *,* / *,* / 13,* / 5,* / *,0 / *,* / *,7 / 13,0 / 5,0 / *,0 / *,* / *,* / 13,6 / 15,0 / 15,* / 15,* / 15,6 / 15,0 / 15,0 / 15,* / 15,0 / 15,0 / 15,0 / 15,0 / 15,* / 15,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL
113,FLORIDA FERTILITY INSTITUTE,,CLEARWATER,FLORIDA,"Mark D. Sanchez, MD",83,22,20,8,44.6%,50.0%,40.0%,0 / 8,33.7%,45.5%,40.0%,0 / 8,81,20,20,7,45.7%,55.0%,40.0%,0 / 7,34.6%,50.0%,40.0%,0 / 7,95,21,12,0,38.9%,52.4%,8 / 12,,29.5%,47.6%,8 / 12,,2.2,2.0,2.5,,48.5%,8 / 17,6 / 14,0 / 6,48.5%,9 / 17,6 / 14,0 / 6,48.5%,9 / 17,6 / 14,0 / 6,1.1,1.1,1.1,1.2,1.2,1.0,0.5,0.0,*,*,23,0,* / *,* / *,30.4%,,* / *,* / *,21.7%,,185,105,69,48,407,2.1%,3.3%,11.9%,10.3%,5.2%,6.0%,10.7%,4.7%,11.1%,7.6%,0.5%,1.9%,7.2%,0.0%,2.0%,4.2%,4.7%,2.6%,9.7%,4.8%,70.6%,65.6%,71.1%,54.8%,67.5%,89.1%,76.6%,76.3%,74.2%,82.1%,26.1%,29.7%,39.5%,32.3%,29.8%,50%,5%,21%,10%,8%,<1%,<1%,22%,33%,5%,10%,2%,7%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
114,CONCEPTIONS FLORIDA: CENTER FOR FERTILITY AND GENETICS,,CORAL GABLES,FLORIDA,"Armando E. Hernandez-Rey, MD",86,49,43,42,50.0%,36.7%,23.3%,11.9%,47.7%,32.7%,18.6%,11.9%,78,42,36,33,55.1%,42.9%,27.8%,15.2%,52.6%,38.1%,22.2%,15.2%,87,34,19,17,49.4%,52.9%,10 / 19,5 / 17,47.1%,47.1%,8 / 19,5 / 17,2.0,2.7,4.3,8.4,50.7%,40.0%,18.2%,14.3%,53.7%,50.0%,31.8%,17.9%,55.2%,50.0%,31.8%,17.9%,1.1,1.2,1.5,1.2,1.0,0.7,0.4,0.4,*,13,28,0,* / *,* / 13,53.6%,,* / *,* / 13,50.0%,,173,131,92,113,509,3.6%,10.6%,15.3%,11.9%,9.7%,7.6%,7.3%,7.2%,7.5%,7.5%,6.4%,10.7%,7.6%,0.0%,6.3%,8.3%,6.3%,0.0%,3.8%,5.7%,98.8%,93.8%,100.0%,75.0%,92.2%,33.3%,35.9%,26.7%,34.6%,33.5%,28.6%,53.1%,50.0%,25.0%,37.4%,19%,6%,8%,10%,4%,43%,1%,50%,44%,1%,49%,4%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
115,"SOUTHWEST FLORIDA FERTILITY CENTER, PA",,FORT MYERS,FLORIDA,"Jacob L. Glock, MD",25,25,16,6,48.0%,32.0%,* / 16,0 / 6,32.0%,24.0%,* / 16,0 / 6,25,25,14,5,48.0%,32.0%,* / 14,0 / 5,32.0%,24.0%,* / 14,0 / 5,28,24,15,*,42.9%,33.3%,* / 15,0 / *,28.6%,25.0%,* / 15,0 / *,2.1,3.1,5.3,,45.0%,6 / 16,* / 8,0 / 5,50.0%,6 / 16,* / 8,0 / 5,50.0%,7 / 16,* / 8,0 / 5,1.1,1.3,1.3,1.2,1.1,1.0,0.9,0.7,0,0,*,*,,,* / *,* / *,,,0 / *,* / *,37,14,19,13,83,0.0%,* / 11,* / 13,* / 8,7.7%,2.7%,0 / 13,* / 18,0 / 10,3.8%,2.7%,0 / 14,0 / 19,0 / 13,1.2%,0.0%,0 / 13,0 / 15,0 / 8,0.0%,11.4%,* / 13,6 / 15,5 / 8,25.4%,100.0%,13 / 13,15 / 15,8 / 8,100.0%,0.0%,* / 13,0 / 15,0 / 8,1.4%,23%,7%,24%,16%,0%,4%,0%,20%,4%,1%,0%,0%,27%,Yes,No,Yes,Yes,Yes,No,Yes,0,FL
116,"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, PA","EMBRYO DONATION INTERNATIONAL, PL",FORT MYERS,FLORIDA,"Craig R. Sweet, MD",28,14,9,7,50.0%,* / 14,5 / 9,* / 7,39.3%,* / 14,* / 9,* / 7,25,12,7,*,56.0%,* / 12,5 / 7,* / *,44.0%,* / 12,* / 7,* / *,29,15,7,*,48.3%,* / 15,5 / 7,* / *,37.9%,* / 15,* / 7,* / *,2.0,3.5,1.8,7.0,52.2%,* / 9,* / 5,0 / *,52.2%,* / 9,* / 5,0 / *,52.2%,* / 9,* / 5,0 / *,1.1,1.1,1.4,1.7,1.1,1.1,0.7,0.6,*,*,9,26,* / *,* / *,* / 9,61.5%,* / *,0 / *,* / 9,26.9%,64,31,22,30,147,2.9%,* / 18,* / 14,* / 10,7.9%,9.5%,0.0%,14.3%,7.1%,7.8%,1.6%,0.0%,0.0%,0.0%,0.7%,0.0%,4.2%,0 / 16,0.0%,1.0%,70.7%,54.2%,7 / 16,78.3%,64.4%,75.6%,79.2%,12 / 16,43.5%,69.2%,14.6%,8.3%,* / 16,17.4%,12.5%,12%,22%,16%,16%,2%,3%,0%,29%,18%,4%,33%,7%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
117,UF HEALTH REPRODUCTIVE MEDICINE AT SPRINGHILL,,GAINESVILLE,FLORIDA,"Alice S. Rhoton-Vlasak, MD",15,15,13,*,7 / 15,8 / 15,* / 13,0 / *,6 / 15,8 / 15,0 / 13,0 / *,15,14,12,*,7 / 15,8 / 14,* / 12,0 / *,6 / 15,8 / 14,0 / 12,0 / *,20,14,9,*,35.0%,8 / 14,* / 9,0 / *,30.0%,8 / 14,0 / 9,0 / *,2.1,1.9,4.3,,7 / 14,5 / 6,* / 9,0 / *,7 / 14,5 / 6,* / 9,0 / *,7 / 14,5 / 6,* / 9,0 / *,1.0,1.0,1.1,1.0,1.4,1.0,0.6,0.0,0,7,*,0,,5 / 7,* / *,,,5 / 7,* / *,,43,27,30,17,117,4.3%,* / 13,* / 19,0 / 6,6.6%,23.8%,0.0%,10.7%,* / 17,14.2%,9.3%,3.7%,6.7%,0 / 17,6.0%,0.0%,0 / 16,0 / 15,0 / 12,0.0%,64.0%,12 / 16,9 / 15,* / 12,60.3%,56.0%,12 / 16,13 / 15,8 / 12,69.1%,0.0%,7 / 16,5 / 15,0 / 12,17.6%,36%,11%,11%,26%,2%,6%,0%,29%,25%,12%,8%,1%,9%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
118,ASSISTED FERTILITY PROGRAM,,JACKSONVILLE,FLORIDA,"Marwan M. Shaykh, MD",24,16,14,*,37.5%,5 / 16,5 / 14,0 / *,33.3%,5 / 16,5 / 14,0 / *,24,15,13,*,37.5%,5 / 15,5 / 13,0 / *,33.3%,5 / 15,5 / 13,0 / *,25,15,14,*,36.0%,5 / 15,5 / 14,0 / *,32.0%,5 / 15,5 / 14,0 / *,2.7,3.2,2.8,,6 / 14,* / 10,* / 11,0 / *,7 / 14,* / 10,5 / 11,0 / *,7 / 14,* / 10,5 / 11,0 / *,1.1,1.2,1.1,1.0,1.0,1.0,1.0,1.0,8,0,10,5,* / 8,,* / 10,* / 5,* / 8,,* / 10,* / 5,46,24,16,21,107,0.0%,* / 13,0 / 13,0 / 10,3.3%,6.5%,4.5%,* / 16,14.3%,8.6%,0.0%,0.0%,0 / 16,0.0%,0.0%,0.0%,* / 19,0 / 10,0 / 17,1.2%,60.0%,11 / 19,* / 10,11 / 17,56.8%,60.0%,13 / 19,* / 10,10 / 17,59.3%,22.9%,5 / 19,0 / 10,5 / 17,22.2%,30%,3%,20%,12%,1%,15%,1%,36%,12%,3%,7%,2%,6%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL
119,BROWN FERTILITY,,JACKSONVILLE,FLORIDA,"Samuel E. Brown, MD",152,68,54,29,52.6%,33.8%,24.1%,6.9%,44.7%,26.5%,22.2%,6.9%,150,68,54,29,53.3%,33.8%,24.1%,6.9%,45.3%,26.5%,22.2%,6.9%,190,86,65,31,42.1%,26.7%,20.0%,6.5%,35.8%,20.9%,18.5%,6.5%,1.9,3.0,4.2,14.5,56.4%,40.9%,22.7%,* / 11,56.4%,45.5%,22.7%,* / 11,56.4%,45.5%,22.7%,* / 11,1.0,1.0,1.1,1.1,1.4,1.3,1.3,1.2,29,*,48,36,31.0%,* / *,37.5%,52.8%,31.0%,* / *,18.8%,44.4%,292,169,153,143,757,3.1%,2.3%,4.1%,7.4%,3.8%,6.3%,2.4%,6.7%,2.9%,4.9%,0.7%,1.8%,0.0%,0.0%,0.7%,0.4%,2.1%,1.6%,9.2%,2.7%,53.1%,55.5%,60.6%,60.8%,56.6%,100.0%,99.3%,99.2%,100.0%,99.7%,7.0%,6.8%,12.6%,12.5%,9.1%,18%,11%,10%,8%,1%,2%,1%,33%,10%,4%,24%,2%,6%,Yes,Yes,Yes,Yes,Yes,No,No,0,FL
120,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,"Kevin L. Winslow, MD",234,84,86,41,51.3%,33.3%,20.9%,4.9%,46.6%,28.6%,20.9%,4.9%,222,81,81,31,54.1%,34.6%,22.2%,6.5%,49.1%,29.6%,22.2%,6.5%,242,85,47,15,49.6%,32.9%,38.3%,* / 15,45.0%,28.2%,38.3%,* / 15,2.0,3.0,4.8,20.5,53.2%,33.3%,23.1%,4.5%,59.0%,38.6%,25.0%,4.5%,59.5%,38.6%,26.9%,4.5%,1.1,1.2,1.3,1.4,1.1,1.0,0.5,0.4,*,30,55,61,* / *,36.7%,32.7%,26.2%,* / *,23.3%,32.7%,21.3%,613,292,226,176,"1,307",8.0%,5.6%,8.6%,7.3%,7.5%,12.6%,12.6%,16.1%,22.0%,14.5%,2.3%,3.1%,1.8%,0.0%,2.1%,1.3%,0.7%,3.4%,0.9%,1.4%,97.5%,96.0%,88.2%,78.6%,92.5%,87.7%,87.9%,88.2%,73.2%,85.5%,40.8%,53.0%,47.9%,25.9%,42.2%,33%,9%,13%,13%,2%,3%,1%,25%,37%,3%,13%,2%,21%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL
121,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,"Michael D. Fox, MD",61,61,34,42,36.1%,18.0%,5.9%,11.9%,31.1%,14.8%,5.9%,9.5%,59,54,30,33,37.3%,20.4%,6.7%,15.2%,32.2%,16.7%,6.7%,12.1%,60,32,14,21,36.7%,34.4%,* / 14,23.8%,31.7%,28.1%,* / 14,19.0%,2.8,5.5,17.0,8.4,34.9%,18.5%,0 / 19,10.0%,39.5%,22.2%,* / 19,25.0%,39.5%,22.2%,* / 19,25.0%,1.2,1.2,1.4,1.5,1.0,0.6,0.4,0.5,*,6,9,0,* / *,* / 6,* / 9,,* / *,* / 6,* / 9,,149,60,59,59,327,10.3%,12.8%,20.0%,20.0%,14.1%,11.3%,1.8%,11.5%,25.9%,12.3%,3.4%,5.0%,5.1%,0.0%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,76.7%,71.4%,79.2%,73.5%,75.6%,33.7%,17.9%,37.5%,38.2%,32.6%,12.8%,17.9%,29.2%,14.7%,16.3%,16%,38%,13%,17%,6%,0%,0%,29%,30%,6%,19%,0%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
122,"REPRODUCTIVE MEDICINE ASSOCIATES OF FLORIDA, LLC",,LAKE MARY,FLORIDA,"George Patounakis, MD, PhD",7,6,7,*,* / 7,* / 6,* / 7,* / *,* / 7,* / 6,* / 7,* / *,7,5,7,*,* / 7,* / 5,* / 7,* / *,* / 7,* / 5,* / 7,* / *,7,5,*,*,* / 7,* / 5,* / *,* / *,* / 7,* / 5,* / *,* / *,1.8,2.0,3.5,4.0,* / 5,* / *,* / 5,* / *,* / 5,* / *,* / 5,* / *,* / 5,* / *,* / 5,* / *,1.2,1.0,1.4,1.0,1.0,1.3,0.6,1.0,0,0,*,0,,,0 / *,,,,0 / *,,43,23,27,10,103,3.8%,* / 12,0 / 15,* / 5,6.9%,9.5%,4.5%,3.7%,* / 8,8.1%,4.7%,4.3%,3.7%,0 / 10,3.9%,0 / 17,* / 11,* / 12,0 / *,4.5%,17 / 17,11 / 11,12 / 12,* / *,100.0%,17 / 17,11 / 11,12 / 12,* / *,93.2%,15 / 17,11 / 11,12 / 12,* / *,95.5%,36%,20%,15%,14%,4%,11%,0%,15%,56%,12%,15%,8%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
123,IVF FLORIDA REPRODUCTIVE ASSOCIATES,,MARGATE,FLORIDA,"David I. Hoffman, MD",271,209,215,194,53.1%,38.3%,22.8%,10.8%,53.1%,37.8%,22.8%,10.3%,248,184,193,146,58.1%,43.5%,25.4%,14.4%,58.1%,42.9%,25.4%,13.7%,278,156,120,52,51.8%,51.3%,40.8%,40.4%,51.8%,50.6%,40.8%,38.5%,1.9,2.6,4.4,9.2,56.9%,43.1%,23.1%,10.0%,64.6%,52.8%,29.8%,14.0%,65.1%,55.3%,31.7%,14.0%,1.2,1.3,1.4,1.4,1.0,0.8,0.6,0.2,0,5,132,0,,* / 5,53.8%,,,* / 5,53.8%,,652,442,379,447,"1,920",8.1%,11.3%,16.0%,21.2%,13.5%,24.3%,17.3%,16.5%,29.8%,22.4%,3.7%,5.0%,4.7%,0.9%,3.5%,3.6%,4.7%,7.8%,7.8%,5.5%,99.3%,98.1%,100.0%,97.2%,98.7%,58.4%,52.3%,60.1%,30.7%,51.4%,44.2%,49.5%,58.8%,35.2%,46.3%,25%,6%,13%,14%,6%,26%,2%,34%,28%,2%,62%,2%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
124,VIERA FERTILITY CENTER,,MELBOURNE,FLORIDA,"Diran J. Chamoun, MD",41,21,15,8,53.7%,42.9%,6 / 15,0 / 8,48.8%,33.3%,6 / 15,0 / 8,40,19,14,7,55.0%,9 / 19,6 / 14,0 / 7,50.0%,7 / 19,6 / 14,0 / 7,45,18,11,7,48.9%,9 / 18,6 / 11,0 / 7,44.4%,7 / 18,6 / 11,0 / 7,1.9,2.3,2.5,,53.1%,6 / 14,* / 8,0 / *,53.1%,7 / 14,* / 8,0 / *,56.3%,7 / 14,* / 8,0 / *,1.1,1.3,1.1,1.0,1.1,0.8,0.6,0.0,0,5,8,*,,* / 5,* / 8,0 / *,,* / 5,* / 8,0 / *,54,36,48,19,157,0.0%,* / 19,4.3%,* / 8,11.0%,13.0%,6.3%,8.5%,* / 16,10.1%,1.9%,2.8%,4.2%,0 / 19,2.5%,2.9%,0 / 18,0.0%,0 / 11,1.1%,79.4%,15 / 18,80.8%,9 / 11,80.9%,100.0%,15 / 18,84.6%,7 / 11,87.6%,55.9%,10 / 18,53.8%,* / 11,50.6%,40%,9%,15%,36%,17%,17%,1%,35%,35%,17%,47%,4%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
125,"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,"Michael H. Jacobs, MD",57,49,68,53,54.4%,32.7%,20.6%,5.7%,47.4%,30.6%,20.6%,5.7%,55,45,63,47,56.4%,35.6%,22.2%,6.4%,49.1%,33.3%,22.2%,6.4%,54,38,27,10,57.4%,42.1%,51.9%,* / 10,50.0%,39.5%,51.9%,* / 10,1.8,3.1,4.9,17.7,59.5%,33.3%,16.7%,3.6%,64.9%,33.3%,20.8%,7.1%,64.9%,33.3%,29.2%,7.1%,1.2,1.1,1.6,1.3,0.9,0.9,0.4,0.2,0,*,82,*,,* / *,51.2%,0 / *,,* / *,48.8%,0 / *,157,108,148,198,611,4.1%,4.7%,8.3%,11.7%,7.7%,5.2%,10.5%,19.9%,19.9%,14.3%,4.5%,13.9%,8.1%,2.0%,6.2%,4.7%,6.8%,22.6%,37.9%,19.9%,92.9%,97.7%,98.4%,95.8%,95.8%,90.6%,88.6%,87.1%,77.9%,85.3%,89.4%,79.5%,87.1%,86.3%,86.4%,43%,4%,15%,11%,10%,70%,8%,35%,45%,11%,84%,47%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
126,UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,"George R. Attia, MD",56,37,39,25,42.9%,43.2%,25.6%,8.0%,25.0%,29.7%,20.5%,8.0%,55,35,35,23,43.6%,45.7%,28.6%,8.7%,25.5%,31.4%,22.9%,8.7%,52,32,29,17,46.2%,50.0%,34.5%,* / 17,26.9%,34.4%,27.6%,* / 17,2.3,2.3,3.9,12.5,44.9%,44.4%,29.0%,10.0%,46.9%,48.1%,29.0%,10.0%,46.9%,48.1%,29.0%,10.0%,1.1,1.1,1.1,1.0,0.9,0.9,0.7,0.7,0,0,12,0,,,5 / 12,,,,5 / 12,,164,79,61,53,357,2.4%,8.5%,0.0%,13.3%,5.1%,5.6%,8.0%,14.8%,20.4%,9.8%,6.1%,5.1%,9.8%,1.9%,5.9%,1.1%,0.0%,3.0%,3.2%,1.5%,86.5%,68.2%,63.6%,54.8%,73.6%,98.9%,95.5%,93.9%,58.1%,90.9%,56.2%,47.7%,36.4%,25.8%,46.2%,28%,1%,25%,4%,1%,3%,0%,27%,33%,1%,20%,5%,9%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
127,"NEW LEADERS IN FERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,"Barry A. Ripps, MD",100,32,21,14,52.0%,34.4%,28.6%,* / 14,50.0%,34.4%,28.6%,* / 14,93,29,19,11,55.9%,37.9%,6 / 19,* / 11,53.8%,37.9%,6 / 19,* / 11,111,30,18,8,46.8%,36.7%,6 / 18,* / 8,45.0%,36.7%,6 / 18,* / 8,1.9,2.9,3.5,14.0,55.1%,6 / 18,* / 13,* / 11,60.3%,7 / 18,* / 13,* / 11,60.3%,7 / 18,* / 13,* / 11,1.1,1.3,1.1,1.1,1.1,1.0,0.9,0.5,0,10,7,*,,* / 10,* / 7,* / *,,* / 10,* / 7,* / *,180,62,31,27,300,6.7%,11.8%,0 / 11,* / 6,8.5%,9.2%,8.6%,12.9%,0.0%,8.7%,0.0%,1.6%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,56.8%,52.1%,65.4%,52.0%,56.3%,98.0%,100.0%,88.5%,68.0%,94.3%,10.1%,16.7%,15.4%,4.0%,11.3%,34%,13%,16%,13%,0%,5%,0%,23%,6%,6%,5%,0%,11%,No,No,Yes,Yes,No,Yes,Yes,0,FL
128,FERTILITY & GENETICS,,PLANTATION,FLORIDA,"Mick Abaé, MD",18,16,13,9,10 / 18,* / 16,5 / 13,* / 9,8 / 18,* / 16,5 / 13,* / 9,18,15,13,9,10 / 18,* / 15,5 / 13,* / 9,8 / 18,* / 15,5 / 13,* / 9,20,8,10,6,50.0%,* / 8,5 / 10,* / 6,40.0%,* / 8,5 / 10,* / 6,1.8,8.0,2.6,4.5,9 / 15,* / 7,* / *,0 / *,9 / 15,* / 7,* / *,0 / *,9 / 15,* / 7,* / *,0 / *,1.1,1.0,1.0,1.3,1.1,0.4,0.8,0.6,*,*,18,0,* / *,* / *,11 / 18,,* / *,* / *,11 / 18,,10,32,20,42,104,0 / *,0 / 13,0 / 8,0 / 12,0.0%,* / 10,40.6%,40.0%,26.2%,32.7%,0 / 10,0.0%,0.0%,0.0%,0.0%,0 / 8,* / 19,0 / 12,6.5%,5.7%,5 / 8,15 / 19,11 / 12,80.6%,80.0%,8 / 8,19 / 19,12 / 12,100.0%,100.0%,* / 8,14 / 19,8 / 12,45.2%,57.1%,63%,11%,3%,19%,27%,63%,2%,45%,0%,5%,44%,5%,13%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
129,FERTILITY CENTER & APPLIED GENETICS OF FLORIDA,,SARASOTA,FLORIDA,"Julio E. Pabon, MD",31,25,20,12,51.6%,44.0%,10.0%,* / 12,51.6%,40.0%,10.0%,* / 12,30,22,15,9,53.3%,50.0%,* / 15,* / 9,53.3%,45.5%,* / 15,* / 9,25,18,*,*,64.0%,11 / 18,* / *,* / *,64.0%,10 / 18,* / *,* / *,1.9,2.3,10.0,6.0,55.0%,8 / 15,* / 5,* / *,60.0%,9 / 15,* / 5,* / *,60.0%,9 / 15,* / 5,* / *,1.1,1.3,1.4,1.5,0.8,0.7,0.3,0.2,0,0,8,*,,,* / 8,0 / *,,,* / 8,0 / *,66,43,43,38,190,4.9%,14.8%,3.8%,* / 18,8.0%,6.3%,12.8%,19.0%,25.0%,14.4%,3.0%,2.3%,0.0%,0.0%,1.6%,0.0%,0 / 14,0 / 14,* / 14,6.3%,100.0%,14 / 14,14 / 14,14 / 14,100.0%,100.0%,13 / 14,14 / 14,12 / 14,95.2%,100.0%,13 / 14,14 / 14,14 / 14,98.4%,29%,8%,13%,6%,11%,95%,3%,62%,97%,5%,10%,10%,3%,Yes,Yes,Yes,Yes,Yes,No,No,0,FL
130,IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,"Juergen Eisermann, MD",288,200,200,118,57.3%,33.5%,22.0%,9.3%,48.6%,32.5%,20.5%,9.3%,277,177,164,102,59.6%,37.9%,26.8%,10.8%,50.5%,36.7%,25.0%,10.8%,305,150,105,41,54.1%,44.7%,41.9%,26.8%,45.9%,43.3%,39.0%,26.8%,1.7,3.0,4.5,10.7,58.8%,33.6%,24.6%,10.6%,62.6%,38.7%,28.7%,10.6%,62.6%,40.3%,28.7%,13.6%,1.1,1.2,1.3,1.3,1.0,0.8,0.5,0.4,*,64,81,*,* / *,51.6%,40.7%,* / *,* / *,50.0%,39.5%,* / *,669,440,425,373,"1,907",3.8%,6.6%,14.1%,26.8%,10.9%,5.5%,6.6%,13.6%,19.5%,10.1%,3.9%,5.9%,2.6%,0.5%,3.4%,0.9%,2.4%,1.8%,5.9%,2.4%,89.1%,86.7%,86.9%,73.9%,85.0%,84.5%,86.7%,78.0%,64.9%,79.7%,38.4%,52.6%,55.4%,38.3%,44.8%,43%,10%,15%,17%,4%,31%,1%,36%,46%,6%,47%,1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
131,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,"Timothy R. Yeko, MD",189,121,115,86,55.0%,47.1%,27.8%,7.0%,52.4%,45.5%,27.8%,7.0%,185,118,105,81,56.2%,48.3%,30.5%,7.4%,53.5%,46.6%,30.5%,7.4%,197,103,60,20,52.8%,55.3%,53.3%,30.0%,50.3%,53.4%,53.3%,30.0%,1.8,2.1,3.6,14.3,57.8%,48.9%,27.5%,10.3%,61.2%,52.3%,31.9%,10.3%,61.2%,52.3%,34.8%,10.3%,1.1,1.1,1.2,1.5,1.1,0.8,0.6,0.2,10,8,68,*,7 / 10,* / 8,55.9%,0 / *,7 / 10,* / 8,52.9%,0 / *,421,263,247,185,"1,116",10.2%,10.3%,12.9%,5.6%,10.1%,6.7%,10.4%,10.4%,12.2%,9.3%,1.9%,2.7%,1.6%,0.0%,1.7%,0.0%,2.2%,1.0%,3.2%,1.3%,98.7%,98.5%,91.3%,91.4%,96.0%,89.7%,95.6%,87.5%,92.5%,91.2%,76.2%,88.9%,80.8%,76.3%,80.2%,27%,4%,15%,14%,1%,2%,<1%,13%,45%,6%,3%,<1%,24%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
